0.0	(1+0j)	(1+0j)
0.0001	(0.9998563384423158+0j)	(0.9997292112022731-0.019945994866049623j)
0.0002	(0.9994254562456579+0j)	(0.9989171228379524-0.039875279896259906j)
0.00030000000000000003	(0.998707660737214+0j)	(0.9975645686395049-0.059771164722567535j)
0.0004	(0.9977034637893193+0j)	(0.9956729369812918-0.0796169978859287j)
0.0005	(0.9964135813103115+0j)	(0.9932441691116685-0.0993961862245372j)
0.0006000000000000001	(0.9948389325326644+0j)	(0.9902807566815329-0.11909221418260328j)
0.0007	(0.9929806390991913+0j)	(0.9867857385728407-0.1386886630134005j)
0.0008	(0.9908400239483184+0j)	(0.9827626970316053-0.15816922985044646j)
0.0009000000000000001	(0.9884186100000634+0j)	(0.9782157531110951-0.17751774662088446j)
0.001	(0.985718118643815+0j)	(0.9731495614315373-0.19671819877535848j)
0.0011	(0.9827404680302171+0j)	(0.9675693042641142-0.21575474380897172j)
0.0012000000000000001	(0.9794877711688752+0j)	(0.961480684947582-0.23461172954821305j)
0.0013000000000000002	(0.9759623338342799+0j)	(0.9548899206470357-0.2532737121790926j)
0.0014	(0.9721666522824353+0j)	(0.9478037344652044-0.27172547399212965j)
0.0015	(0.9681034107809584+0j)	(0.9402293469176198-0.2899520408202442j)
0.0016	(0.9637754789554619+0j)	(0.9321744667838172-0.3079386991460604j)
0.0017000000000000001	(0.9591859089556221+0j)	(0.9236472813477998-0.32567101285567346j)
0.0018000000000000002	(0.9543379324440422+0j)	(0.9146564460416212-0.34313483961637153j)
0.0019	(0.949234957411726+0j)	(0.9052110735070197-0.36031634685647407j)
0.002	(0.9438805648237728+0j)	(0.8953207220906678-0.377202027325965j)
0.0021000000000000003	(0.9382785050994367+0j)	(0.8849953837895659-0.39377871421725624j)
0.0022	(0.9324326944305854+0j)	(0.8742454716637247-0.4100335958260701j)
0.0023	(0.9263472109430785+0j)	(0.8630818067341669-0.4259542297331541j)
0.0024000000000000002	(0.920026290705428+0j)	(0.8515156043848597-0.4415285564881563j)
0.0025	(0.9134743235896949+0j)	(0.8395584602880424-0.45674491277787266j)
0.0026000000000000003	(0.9066958489892785+0j)	(0.827222335872868-0.4715920440617235j)
0.0027	(0.8996955513988518+0j)	(0.8145195433581227-0.48605911665817675j)
